date,value
7/1/21,12903953
7/2/21,14028663
7/3/21,13757699
7/4/21,14017273
7/5/21,13206454
7/6/21,12841867
7/7/21,11598989
7/8/21,12586913
7/9/21,14084672
7/10/21,13365262
7/11/21,13829018
7/12/21,11315645
7/13/21,11826418
7/14/21,11707639
7/15/21,11549991
7/16/21,13103044
7/17/21,14560926
7/18/21,14863286
7/19/21,13852674
7/20/21,13925652
7/21/21,13202517
7/22/21,12792771
7/23/21,13420297
7/24/21,13196096
7/25/21,14053840
7/26/21,11671402
7/27/21,12043066
7/28/21,11797044
7/29/21,11928130
7/30/21,12027209
7/31/21,12625907
8/1/21,13625190
8/2/21,11272047
8/3/21,10497710
8/4/21,11240827
8/5/21,10630677
8/6/21,10541753
8/7/21,10239077
8/8/21,10644376
8/9/21,9795762
8/10/21,9741932
8/11/21,9490315
8/12/21,9699287
8/13/21,10309736
8/14/21,10407455
8/15/21,10552530
8/16/21,9745877
8/17/21,9735898
8/18/21,10193068
8/19/21,9397728
8/20/21,10314271
8/21/21,10332536
8/22/21,10409083
8/23/21,10077137
8/24/21,11693103
8/25/21,11642901
8/26/21,11303294
8/27/21,12746563
8/28/21,13312662
8/29/21,12666028
8/30/21,11394394
8/31/21,11008538
9/1/21,9587493
9/2/21,9388516
9/3/21,10346208
9/4/21,10903908
9/5/21,11201182
9/6/21,10585577
9/7/21,11822132
9/8/21,12239953
9/9/21,12492550
9/10/21,11747575
9/11/21,13262902
9/12/21,13017887
9/13/21,10790431
9/14/21,10459305
9/15/21,9732733
9/16/21,9811831
9/17/21,10762386
9/18/21,11276528
9/19/21,11316965
9/20/21,9621230
9/21/21,9556510
9/22/21,9201279
9/23/21,9130179
9/24/21,9736641
9/25/21,10166430
9/26/21,10175149
9/27/21,9072345
9/28/21,9448536
9/29/21,9450843
9/30/21,9563125
10/1/21,10254122
10/2/21,10988110
10/3/21,10914563
10/4/21,9816372
10/5/21,10268593
10/6/21,10220709
10/7/21,10024829
10/8/21,11000048
10/9/21,11396811
10/10/21,12212708
10/11/21,10720578
10/12/21,9541187
10/13/21,10115938
10/14/21,9959881
10/15/21,10592061
10/16/21,11117630
10/17/21,10670025
10/18/21,9320736
10/19/21,9146699
10/20/21,9128587
10/21/21,9674477
10/22/21,10578413
10/23/21,11386966
10/24/21,11010232
10/25/21,9537548
10/26/21,9041157
10/27/21,9672638
10/28/21,10204240
10/29/21,10590444
10/30/21,11280579
10/31/21,11303951
11/1/21,9842632
11/2/21,9763050
11/3/21,10024912
11/4/21,11343147
11/5/21,11240706
11/6/21,12336864
